STT,T1,T1_clean,phanlopt1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT,MEDIAN,1,2,3,MEDIAN,1,2,3,MEDIAN,1,2,3
96,8.6,8.6,g,6.9,7.4,8.8,7.6,5.8,7.3,5.7,8.9,6.8,6.5,7.3,7,7.3,6.9,7.6,7.7,5.6,5.9,7.7,6.8,8.1,6.6,7.5,6.7,6.8,6,8.3,7.5,7.1,6.8,7.8,7.9,6.7,7.2,6.1,7.2,5.3,5.2,5.2,6.6,6.9,7.4,7,7.6,6.3,6.1,6.2,F,0,1,5.25,1.5,6.25,C,7.43,7.42,6.83,K,K,K,2.972,2.968,2.732,0,5.25,5.0625,5.25,6.375,5.25,5,5.25,5.4375,5.25,5,5.25,5.4375
26,3.6,3.6,k,5.8,6.9,6.1,5.5,7.2,5.5,4.3,4.2,5.4,6.5,5.5,5.8,5,5.3,4.3,4.2,4.5,5.3,5,5.6,6.4,5.3,4.1,4.8,4.8,4.7,4.6,5.4,4.1,6.3,5.6,5.8,4.9,4.8,6.3,4.8,2.7,4.4,5,3.7,4.5,5.7,5.5,5.6,5.9,6.3,4.4,F,0,1,4.75,2,5.5,C,5.4,5.2,5.09,TB,TB,TB,2.16,2.08,2.036,0,3.625,5.0625,5.25,6.375,5.25,,,,5.25,5,5.25,5.4375
47,6.7,6.7,tb,6.8,6.4,5.9,5.6,6.4,8,6.8,6.6,6.9,7.1,4.6,6,6.7,7.8,6.8,7.6,7,6.7,7,5.9,6.2,8.1,7.5,7.4,6.5,6.6,6.1,6,5.4,6.8,6.8,6.1,5.5,6.3,6.5,5.8,5.2,7.9,5.3,6.5,6.9,5.9,7,6,5.1,6.6,5.1,F,0,1,5.25,2.25,5.25,D1,6.49,6.51,6.16,TB,K,TB,2.596,2.604,2.464,0,3.375,3,3.75,4.875,3.5,,,,3.625,2.6875,3.625,4.4375
25,2.4,2.4,k,4.1,3.6,5.5,5.9,5.6,4.9,4.2,3.3,5.7,4.9,5.3,5.7,4.5,5.6,4.8,3.9,4.6,4.6,6.9,5.7,8,5.1,4.7,3.3,5.3,5.6,6.9,7.2,7.3,6.1,3.6,4.4,5,4.4,5.6,6.8,4,5,5.2,3.8,6.3,4.5,6.6,7.1,4.1,5.7,5.1,F,0,1,7,2.25,5.25,C,4.45,4.88,5.41,Y,Y,TB,1.78,1.952,2.164,0,3.75,5.0625,5.25,6.375,5.25,,,,5.25,5,5.25,5.4375
14,4.9,4.9,k,5.4,5,5,5.8,7,4.2,5.8,4.5,4.5,4.6,5.6,5.9,7.1,6,6.5,4.5,6.1,4.2,6,6.7,5.9,7,5.3,4.6,5.4,4.3,7.3,7.8,5.9,7.5,6.2,6.5,5.8,6.1,6.4,6.9,6.8,6.2,5.8,6.9,5.9,5.7,5.8,6.4,7.3,5.6,5.7,F,0,1,2.5,2.75,5.5,D1,5.38,5.51,6.26,TB,TB,TB,2.152,2.204,2.504,0,3.25,3,3.75,4.875,3.5,,,,3.625,2.6875,3.625,4.4375
22,5,5,,5.1,6.3,4.5,6.8,5.8,5.1,4.1,5.8,4.5,5.3,5.3,5.7,4.2,5.6,4.2,6,5.2,4.5,6.7,6.9,7.4,5.3,4.9,6.6,4.4,5.9,4.9,6.5,7.5,7.3,5.2,6.8,6.5,6.4,5.6,7.1,6.6,4.8,5.5,5.5,5.7,6.8,6.1,7.8,5.2,6.8,6.1,F,0,1,3.5,3,4.5,D1,5.45,5.21,6.33,TB,TB,TB,2.18,2.084,2.532,0,3.5,3,3.75,4.875,3.5,,,,3.625,2.6875,3.625,4.4375
52,6,6,,5.3,8.5,6.6,7.6,7.5,7.6,4,7.3,6.3,8.9,7.8,8.2,8.4,8.8,6.1,7.4,7.1,8.5,8.3,8.1,9,7.3,5,8.1,6,8.8,9,7.9,7.8,8.6,5.8,7.7,6.9,7.2,5.8,7.5,8.9,7.5,6.1,6.5,7.3,7,6.8,7.5,9,7.8,5.9,F,0,1,2.5,3.25,5,A,6.67,7.73,7.18,K,K,K,2.668,3.092,2.872,0,3.75,2.25,3.25,4.25,3.25,,,,3.25,2,3.25,4.25
1,7.2,7.2,,7.3,6.3,7.3,7,7.9,7.3,5.5,8.4,8.9,5.8,9,6.6,8.7,7.2,5.8,7.4,7.4,5.2,6.6,6.9,8.9,8.1,5.8,7.2,7.1,5.9,7.2,6.6,5.8,8.1,5.9,7.4,5.6,6.1,5.7,7.9,5,7.4,5,6.9,5.7,6.5,7.2,8.4,6.6,7.6,5.9,F,0,2NT,3.25,3.25,4.5,A1,7,7.54,7.01,K,K,K,2.8,3.016,2.804,0,4.625,2.1875,3,3.25,3.25,,,,3.25,2.9375,3.25,3.5
44,6.6,6.6,,7.2,5.9,6.9,7.6,8.1,7.3,6.7,6.3,6.9,6,6.4,7,7.1,6.9,6.2,6.7,7.1,5.4,6.8,6.8,5.9,6.6,6.8,6,7.6,6.5,7.6,6.7,7.1,7.9,5.6,5.8,5.9,5.8,4.6,6.6,4,6,6.2,6,7.6,6.5,7.6,6.7,7.1,7.9,5.6,F,1,2,1.25,3.5,5,D1,7.05,6.61,6.77,K,K,K,2.82,2.644,2.708,0,3.875,3,3.75,4.875,,,,,1.25,1.25,1.25,
80,4.8,4.8,,3.9,5.5,4.9,5.6,4.1,5.8,5.1,5.1,4,4.5,5.6,5.6,5.9,7.2,4.4,5.7,4.9,5,4.6,5,4.8,7,4.1,5,5.3,5.1,6.3,5.8,6.8,5.6,4.7,6.7,4.8,5,5.5,5.8,4.4,4.6,4.1,6.6,6.6,5.9,6.9,7.2,3.8,5.1,4.9,F,0,2NT,2,3.5,5.5,A1,5.01,5.3,6.08,TB,TB,TB,2.004,2.12,2.432,0,4.375,2.1875,3,3.25,,,,,,,,
